Index_of_Multiple_Deprivation_Score,Age_65,Children_15,Road_density,Street_network_density,Household_spaces_with_at_least_one_usual_resident,Traffic_light_density,Distance,FirstPumpArriving_AttendanceTime,Winter,Commute,Weekend,Fire_Station_number
6.208,268,115,17.48595722,184.8998459,876,0,1156.754886,305.75,25,0,0,16
5.143,269,143,15.50980484,170.7530648,830,0,1036.081876,331.0909091,27.2727273,27.2727273,27.2727273,16
28.652,127,164,21.98704077,295.3586498,467,21.09704641,773.2490788,266.4,20,10,40,18
34.714,54,569,14.24043453,151.0791367,698,0,1690.962687,359.1428571,17.989418,24.3386243,29.6296296,6
32.839,188,421,14.08572124,60.36217304,626,0,2093.001717,331.0380952,20.952381,20.952381,29.5238095,4
29.958,232,352,11.72203206,133.1557923,631,5.326231691,3032.402629,389.1710526,19.7368421,28.2894737,31.5789474,4
19.27,151,300,11.54522259,81.20372582,469,0,1794.262584,324.2598425,15.7480315,25.984252,26.7716535,2
28.389,161,460,16.83006642,123.094959,629,0,1635.715104,315.1129032,9.6774194,17.7419355,33.0645161,4
33.284,200,528,18.64253821,155.2328493,769,10.01502253,980.9234642,280.4415584,22.7272727,24.6753247,30.5194805,5
35.903,160,448,11.1486958,65.68144499,573,0,3018.616435,388.5777778,16.6666667,23.3333333,27.7777778,3
35.283,299,451,17.80068601,234.6743295,709,4.789272031,933.1089886,257.875,21.3235294,19.8529412,31.6176471,4
25.763,205,488,20.79345209,106.165782,683,0,1967.292527,347.3571429,20,28.5714286,28.5714286,4
36.246,179,605,11.83954603,104.8767698,710,0,2610.258003,362.3565217,15.6521739,26.0869565,26.0869565,4
34.377,196,457,16.89810961,100.0555864,629,0,2036.737517,395.4328358,11.9402985,29.8507463,26.8656716,3
28.849,245,461,10.34138362,70.67137809,640,8.833922261,3398.398387,417.5,10.7142857,16.9642857,33.9285714,2
40.926,98,659,10.0538418,79.6812749,639,1.66002656,1860.757012,328.2645914,19.4552529,20.233463,30.3501946,5
38.009,304,411,16.73283239,122.7678571,708,27.90178571,1866.145521,313.5955056,20.2247191,20.2247191,22.4719101,4
43.523,222,495,17.52277281,232.4521422,916,4.557885141,2784.522675,360.3085714,14.2857143,35.4285714,32,3
25.691,175,418,13.58461083,119.9040767,608,0,1676.122904,297.0879121,16.4835165,16.4835165,31.8681319,4
23.589,157,342,13.18283283,113.3698202,660,3.909304144,1837.807157,354.6781609,14.9425287,27.5862069,32.183908,5
33.625,120,618,15.84921071,179.6778191,726,0,2051.459287,370.9880952,22.6190476,27.3809524,29.7619048,4
16.817,193,232,21.40277618,260.0958248,683,6.844626968,2136.397824,341.9240506,17.721519,27.2151899,22.1518987,7
12.786,246,285,16.32635304,153.2377657,544,0,1657.479393,324.6851852,26.5432099,30.2469136,31.4814815,5
8.319,202,364,17.00715891,161.1111111,751,0,2439.036006,375.7819549,21.0526316,24.0601504,33.0827068,4
16.271,218,360,18.13247501,244.0318302,766,10.61007958,2180.104344,345.3870968,19.3548387,33.3333333,32.2580645,3
25.824,136,291,17.09547379,275.0809061,606,0,1310.389243,322.6837607,21.3675214,16.2393162,31.6239316,4
8.028,236,316,5.120047369,20.06772858,516,0,2531.432588,390.2699387,23.3128834,21.4723926,23.3128834,3
10.063,258,293,12.26275597,104.2654028,687,0,1574.696814,316.5142857,21.9047619,25.7142857,29.5238095,4
6.585,276,337,16.57708529,149.9423299,608,11.53402537,2202.087262,387.635514,20.5607477,33.6448598,28.0373832,6
19.679,185,342,17.20800333,80.99688474,524,0,2152.786436,362.5804598,30.4597701,29.8850575,31.6091954,7
31.658,205,440,18.74529026,196.5317919,630,0,2091.923054,369.0728477,16.5562914,26.4900662,31.1258278,3
14.093,265,291,19.93922113,212.4183007,791,5.446623094,961.1717789,254.6553672,18.079096,26.5536723,26.5536723,4
10.621,296,259,5.669292025,52.02526942,654,1.858045336,2154.695198,378.9401709,15.3846154,33.3333333,29.9145299,2
11.643,242,591,6.2685824,48.42505431,752,0,1677.279145,358.5515152,13.9393939,25.4545455,27.8787879,4
8.023,265,289,6.147916531,37.36571695,511,0,1769.951862,307.4615385,20.5128205,21.7948718,32.0512821,4
4.061,221,348,6.440146691,35.10140406,506,0,2494.088604,406.9279279,13.5135135,28.8288288,36.036036,5
22.723,230,338,14.75833936,149.9634236,622,0,2311.470352,410.4390244,19.5121951,25.203252,34.1463415,2
13.531,146,250,16.28658244,163.2882883,621,0,1609.794613,300.8703704,24.0740741,25,28.7037037,4
14.045,186,291,16.44539512,68.21282401,558,0,1655.92415,338.3333333,21.1111111,27.2222222,36.6666667,5
19.874,197,476,14.6460812,118.1102362,874,29.52755906,1790.354911,340.2551724,21.3793103,26.8965517,30.3448276,6
18.89,155,391,19.68243693,236.7205543,693,0,1557.584804,316.0658436,17.6954733,28.8065844,38.2716049,3
16.3,294,296,18.86424811,141.0658307,602,0,1927.906452,335.5076923,23.0769231,28.4615385,40,3
14.763,289,308,19.26000442,206.2155097,676,0,2536.772001,400.7464789,16.9014085,38.028169,39.4366197,5
8.189,370,203,12.12181548,80.85612366,613,0,1237.024131,269.4852071,17.1597633,30.7692308,32.5443787,3
6.167,245,239,15.30882959,107.9489696,488,0,2342.158484,306.4861111,18.0555556,23.6111111,30.5555556,3
11.364,352,297,14.27153682,113.6014737,649,0,1737.07627,311.5844156,12.987013,31.1688312,29.8701299,2
29.915,256,386,16.97208567,122.1107719,593,0,1463.312761,298.3506494,18.1818182,32.4675325,28.5714286,3
16.232,204,364,7.96514746,78.19603564,606,0,2536.505845,404.76,10.5,26,25,2
32.32,215,491,9.140525743,90.39169736,770,5.021760964,2752.907439,414.0769231,20.5128205,30.7692308,31.6239316,3
41.618,233,335,12.06959386,103.3170201,659,5.437737901,1679.48395,299.462069,26.2068966,24.137931,27.5862069,2
10.762,366,252,9.870172032,62.26415094,621,1.886792453,2947.986489,436.1328125,13.28125,27.34375,29.6875,5
11.233,331,268,11.65428176,119.8552691,714,6.784260516,2174.593637,360.5789474,17.1052632,31.5789474,25,5
14.705,257,301,13.20588901,138.3469315,590,0,2373.157034,378.0630631,24.3243243,25.2252252,32.4324324,5
23.276,146,419,11.45512939,111.9664101,594,0,1660.574584,290.3991597,15.9663866,25.210084,30.6722689,4
10.343,244,320,17.39330863,152.284264,712,0,1037.051129,243.2222222,26.6666667,26.6666667,37.7777778,2
38.229,164,469,3.986809647,28.43111915,596,0,3160.183682,424.9959677,18.1451613,28.2258065,28.2258065,3
38.345,96,396,8.974512369,88.66722084,590,0,2808.424442,442.25,18.220339,17.3728814,30.0847458,4
19.67,207,265,19.65615095,206.8661972,455,0,1578.552527,372.1610169,19.4915254,18.6440678,35.5932203,6
