fire_record,IMD_score,population,White,mixed/multiple_ethnic_groups,Asian/Asian_British,Black/African/Caribbean/Black British,other_ethnic_group,Household_spaces_with_no_usual_residents,Household_Median_Annual_Household_Income_estimate_2012
1,6.21,113.56,84.51,3.69,8.74,0.75,2.32,13.44,58347.32
1,5.14,63.7,88.72,3.76,6.62,0.28,0.63,14.96,57159.5
0,19.4,229.61,78.38,4.09,12.48,3.34,1.71,7.89,34386.56
1,28.65,61.81,51.37,5.99,27.82,10.15,4.67,11.55,23999.85
0,19.84,116.92,32.71,3.41,50.56,10.39,2.94,2.69,39140.64
0,31.58,76.25,31.56,6.33,32.14,27.97,2.01,2.39,26228.95
0,37.6,81.75,31.41,5.38,22.6,37.18,3.43,2.43,24203.85
0,32.84,135.81,23.8,3.5,57.08,12.86,2.76,3.19,32464.43
0,32.44,90.85,28.59,5.25,42.43,20.42,3.31,6.45,31630.2
0,30.68,174.05,21.18,1.71,65.48,8.75,2.88,1.93,28128.96
1,34.71,139.35,28.14,6.15,35.51,27.88,2.31,4.38,27704.71
0,39,81.04,68.61,4.04,9.94,17.11,0.3,3.27,27807.67
0,35.67,48.21,75,3.99,4.89,15.1,1.03,1.09,27450.74
0,33.63,85.67,66.49,3.3,6.87,21.42,1.92,1.53,26806.68
1,32.84,84.66,70.49,3.24,7.15,18.14,0.98,1.88,28483.76
0,39,99.05,69.39,3.2,6.9,19.39,1.13,1.46,27591.07
0,33.41,99.08,71.63,3.19,7.26,17.53,0.38,1.77,28720.74
0,33.62,78.86,55.65,4.98,21.11,15.14,3.13,1.56,28658.74
0,36.04,104.01,64.99,3.82,11.34,18.7,1.15,1.96,28849.62
0,38.89,93.8,54.15,5.38,19.82,19.57,1.08,1.17,26284.88
0,34.41,107.01,63.47,5.33,11.11,19.41,0.68,1.46,30294.65
0,36.88,87.64,55.4,4.41,21.22,17.09,1.89,7.75,28841.91
0,29.34,107.47,55.91,4.34,16.24,21.48,2.02,1.3,28297.83
0,36.7,106.65,69.24,4.54,10.63,15.23,0.37,1.1,28918.34
0,37.35,12.15,71.68,5.38,9.19,13.34,0.41,3.03,27193.61
0,40.08,111.13,57.91,5.16,13.94,21.69,1.29,3.32,26305.73
0,22.5,63.22,63.86,2.56,18.73,13.17,1.69,3.5,36508.5
0,38.42,71.39,65.69,6.11,7.68,18.69,1.83,2.04,25148.56
0,22.67,19.91,49.85,5.01,26.47,15.77,2.91,3.24,40711.41
1,29.96,43.97,62.31,3.81,19.15,12.58,2.15,2.77,34137.37
0,37.98,98.69,75.97,3.82,3.75,15.87,0.59,1.84,26046.38
0,35.9,29.75,76.45,2.29,4.5,16.2,0.55,1.9,31183.26
0,26.18,42.86,67.08,3.73,9.94,18.39,0.87,3.9,31570.62
1,19.27,33.03,57.95,2.44,17.89,21.43,0.3,2.49,36529.59
0,17.99,74.34,83.41,2.73,4.38,9,0.47,2.69,44859.35
0,19.65,69.11,83.48,2.49,6.29,7.39,0.35,1.92,39775.88
0,22.29,10.75,80.22,4.43,5.18,9.73,0.44,1.2,38303.23
0,34.61,95.25,57.43,4.02,17.85,18.29,2.42,2.29,27636.21
0,33.17,111.73,66.88,3.86,6.66,21.34,1.25,0.65,28845.04
0,41.57,83.17,54.25,5.31,18.01,20.02,2.4,0.73,26120.59
0,28.08,52.85,52.58,3.02,27.69,14.73,1.99,1.28,28391.43
1,28.39,114.42,43.49,6.56,26.7,21.97,1.28,2.18,29978.37
0,35.69,56.39,59.09,6.06,8.91,24.36,1.58,0.17,29517.21
0,29.76,116.72,73.58,3.54,6.13,15.12,1.63,0.61,28013.53
0,44.7,277.43,37.13,5.89,12.96,41.5,2.52,0.77,20719.34
0,41.17,88.55,37.47,6.76,14.73,37.31,3.74,0.31,23697.48
0,34.7,130.14,38.53,5.24,34.98,18.06,3.19,2.69,27237.89
0,36.94,235.08,35.6,5.03,16.92,37.68,4.77,0.68,20460.69
1,33.28,106.81,46.47,4.87,25.52,21.5,1.64,3.39,27834.52
0,40.04,88.39,60.54,4.04,7.88,27,0.54,1.23,27118.94
0,29.79,103.74,71.25,2.91,6.34,18.8,0.7,2.6,28868.14
0,30.9,112.74,69.67,4.12,8.95,16.74,0.52,3.28,29174.14
1,35.9,65.93,67.55,3.85,7.7,19.76,1.14,2.05,27991.19
